timestamp,open,high,low,close,adjusted_close,volume,forecast_high_5
3/5/2018,45.58,46.46,45.02,46.26,46.0794,11767937,47.22
3/2/2018,45.71,46.2,45.165,46.03,45.8503,6151538,47.33
3/1/2018,45.93,46.905,45.46,46.03,45.8503,10113111,46.27
2/28/2018,48.01,48.1,46.365,46.42,46.2388,10528888,45.96
2/27/2018,48.32,48.94,47.61,47.62,47.4341,5937313,46.59
2/26/2018,48.24,48.46,47.62,48.23,48.0417,8102122,46.46
2/23/2018,47.48,48.655,47.21,48.45,48.2608,8995751,46.2
2/22/2018,46.93,47.92,46.825,47.13,46.946,7972897,46.905
2/21/2018,46.93,47.62,46.52,46.55,46.3682,9797843,48.1
2/20/2018,47.6,47.98,46.76,47.16,46.9759,7377428,48.94
2/16/2018,46.76,47.99,46.53,47.5,47.3145,12150306,48.46
2/15/2018,47.5,47.65,46.33,46.89,46.7069,15647968,48.655
2/14/2018,46.88,48.18,46.71,47.87,47.6831,8632869,47.92
2/13/2018,47.55,47.72,46.87,47.39,47.205,6847904,47.62
2/12/2018,47.41,48.5,47.29,47.92,47.7329,12175680,47.98
2/9/2018,47.74,48.06,45.1,46.7,46.5177,17744009,47.99
2/8/2018,49.94,50,47.375,47.41,47.2249,13765760,47.65
2/7/2018,50.77,51.41,49.675,49.69,49.496,8588385,48.18
2/6/2018,48.76,51.27,48.57,50.63,50.4323,11045127,47.72
2/5/2018,51.49,52.42,49.67,50.04,49.8446,12158451,48.5
2/2/2018,54,54.095,51.68,52.19,51.9862,13367833,48.06
2/1/2018,53.63,54.695,53.43,54.51,54.2972,8526026,50
1/31/2018,54.18,54.43,52.81,53.7,53.4903,8527035,51.41
1/30/2018,54.24,54.25,53.085,54.14,53.9286,10428805,51.27
1/29/2018,55.32,55.6,54.61,54.8,54.586,8447080,52.42
1/26/2018,55.5,55.955,55.16,55.61,55.3929,7376883,54.095
1/25/2018,55.67,56.26,55.15,55.2,54.9845,8920524,54.695
1/24/2018,56.73,56.84,55.32,55.34,55.1239,12227602,54.43
1/23/2018,56.63,57.86,56.47,56.83,56.6081,13705114,54.25
1/22/2018,54.02,56.445,53.64,56.4,56.1798,17314235,55.6
1/19/2018,52.02,53.18,51.42,53.01,52.803,10354453,55.955
1/18/2018,52.63,53.07,52.2106,52.36,52.1556,8241607,56.26
1/17/2018,52.48,53.33,52.1,52.85,52.6436,8456600,56.84
1/16/2018,53.03,53.21,51.9001,52.13,51.9265,10191892,57.86
1/12/2018,53.18,53.52,52.68,53.14,52.9325,9021991,56.445
1/11/2018,52.57,53.69,52.22,53.33,53.1218,9064907,53.18
1/10/2018,52.1,52.59,51.66,52.47,52.2651,9707512,53.07
1/9/2018,52.43,52.66,51.6,52.11,51.9065,8556750,53.33
1/8/2018,51.66,52.36,51.4,52.29,52.0858,7476926,53.21
1/5/2018,51.46,51.9,50.95,51.82,51.6177,8380537,53.52
1/4/2018,50.86,51.775,50.23,51.63,51.4284,10104130,53.69
1/3/2018,49.8,51.08,49.52,50.5,50.3028,10443450,52.59
1/2/2018,48.92,49.84,48.72,49.61,49.4163,7246300,52.66
12/29/2017,48.68,49.06,48.13,48.87,48.6792,5153468,52.36
12/28/2017,48.85,48.91,48.4,48.57,48.3804,3635375,51.9
12/27/2017,48.92,49.29,48.515,48.82,48.6294,4713735,51.775
12/26/2017,48.13,48.94,47.915,48.77,48.5796,4977609,51.08
12/22/2017,48.32,48.36,47.6876,48.01,47.8225,6657263,49.84
12/21/2017,47.6,48.7,47.2,48.17,47.9819,10366385,49.06
12/20/2017,46.215,47.61,46.09,47.42,47.2348,9092400,48.91
12/19/2017,45.64,46.67,45.56,45.87,45.6909,7991800,49.29
12/18/2017,44.76,45.845,44.72,45.48,45.3024,7595171,48.94
12/15/2017,44.78,45.04,44.51,44.61,44.4358,8676727,48.36
12/14/2017,44.3,44.9,44.11,44.41,44.2366,7146763,48.7
12/13/2017,45.2,45.4,44.49,44.76,44.5852,7621588,47.61
12/12/2017,45.33,45.8,44.995,45.24,45.0634,9719852,46.67
12/11/2017,44.08,45.2499,44.05,45.16,44.9837,10659906,45.845
12/8/2017,43.78,44.26,43.63,43.99,43.8182,7836054,45.04
12/7/2017,43.38,43.86,43.17,43.46,43.2903,6244013,44.9
12/6/2017,43.37,43.555,42.71,43.38,43.2106,8793095,45.4
12/5/2017,44.02,44.35,43.55,43.63,43.2801,8979456,45.8
12/4/2017,43.16,45.21,43.06,43.89,43.538,13897200,45.2499
12/1/2017,41.87,43.57,41.85,43.06,42.7146,18066381,44.26
11/30/2017,41.48,42.24,41.36,41.78,41.4449,13390356,43.86
11/29/2017,41.07,41.57,40.86,41.3,40.9687,7383593,43.555
11/28/2017,41.02,41.17,40.72,41.02,40.691,7994264,44.35
11/27/2017,41.35,41.65,40.89,41.07,40.7406,5354678,45.21
11/24/2017,41.66,41.905,41.46,41.58,41.2465,3352660,43.57
11/22/2017,41.52,41.6,41.3,41.43,41.0977,4731139,42.24
11/21/2017,41.87,41.93,40.98,41.17,40.8398,11577352,41.57
11/20/2017,41.76,41.88,41.36,41.57,41.2366,5777629,41.17
11/17/2017,41.65,41.98,41.31,41.77,41.435,5899890,41.65
11/16/2017,41.57,41.92,41.415,41.51,41.1771,5606202,41.905
11/15/2017,42.48,42.69,41.51,41.69,41.3556,9559094,41.6
11/14/2017,43.96,44.14,42.84,42.94,42.5956,7921361,41.93
11/13/2017,44.29,44.49,43.98,44.21,43.8554,4627176,41.88
11/10/2017,44.9,45.02,44.39,44.58,44.2224,4562585,41.98
11/9/2017,44.9,45.13,44.5647,45.01,44.649,5730058,41.92
11/8/2017,45.02,45.6012,44.67,45.12,44.7581,6728855,42.69
11/7/2017,45.34,45.9299,45.05,45.27,44.9069,9432415,44.14
11/6/2017,43.39,45.305,43.32,45.08,44.7184,9917773,44.49
11/3/2017,42.55,43.48,42.53,43.23,42.8833,9505812,45.02
11/2/2017,43.16,43.52,42.29,42.69,42.3476,6167202,45.13
11/1/2017,43.15,43.93,43.03,43.05,42.7047,7206538,45.6012
10/31/2017,42.8,42.97,42.42,42.74,42.3972,6222595,45.9299
10/30/2017,42.49,43.07,42.15,42.93,42.5857,7409196,45.305
10/27/2017,41.04,42.58,40.99,42.43,42.0897,11530607,43.48
10/26/2017,41.53,41.91,40.96,41.24,40.9092,8167316,43.52
10/25/2017,41.4,41.74,41,41.48,41.1473,7798552,43.93
10/24/2017,42.43,42.65,41.28,41.37,41.0382,14080526,42.97
10/23/2017,42.51,43.61,42.15,42.24,41.9012,12602121,43.07
10/20/2017,43.56,43.7,43.01,43.33,42.9825,10224912,42.58
10/19/2017,43.55,43.82,43.08,43.42,43.0717,9009187,41.91
10/18/2017,44.48,44.8,43.59,43.77,43.4189,7453263,41.74
10/17/2017,44.6,44.66,44.145,44.46,44.1034,7379484,42.65
10/16/2017,44.98,45.17,44.58,44.61,44.2522,4099922,43.61
10/13/2017,45.21,45.36,44.67,44.72,44.3613,4721149,43.7
10/12/2017,45.02,45.2,44.69,44.76,44.401,5599699,43.82
10/11/2017,44.93,45.52,44.71,45.51,45.145,5688599,44.8
10/10/2017,45.34,45.87,44.98,45.03,44.6688,6513869,44.66
10/9/2017,44.76,45.19,44.73,44.93,44.5696,3680965,45.17
10/6/2017,44.86,45.05,44.23,44.75,44.3911,11105837,45.36
10/5/2017,45.36,45.39,44.94,45.09,44.7283,5474307,45.2
10/4/2017,45.05,45.42,44.84,45.18,44.8176,6960999,45.52
10/3/2017,45.42,45.51,44.785,44.93,44.5696,8616300,45.87
10/2/2017,45.23,45.73,45.02,45.53,45.1648,7106844,45.19
9/29/2017,45.61,46.18,45.49,46.03,45.6608,6597789,45.05
9/28/2017,45.7,46.08,45.55,45.83,45.4624,12087728,45.39
9/27/2017,44.74,45.72,44.54,45.58,45.2144,11037710,45.42
9/26/2017,44.5,44.87,44.24,44.64,44.282,6059690,45.51
9/25/2017,44.51,45.11,44.4,44.69,44.3316,11382897,45.73
9/22/2017,43.48,44.32,43.47,44.25,43.8951,9178517,46.18
9/21/2017,43.5,43.7,43.11,43.48,43.1313,9622926,46.08
9/20/2017,42.9,43.78,42.86,43.61,43.2602,11783707,45.72
9/19/2017,42.82,42.925,42.3699,42.81,42.4666,6993631,44.87
9/18/2017,42.4,42.91,42.105,42.62,42.2782,6371629,45.11
9/15/2017,42.09,42.34,41.86,42.31,41.9706,8021409,44.32
9/14/2017,42.025,42.695,41.95,42.18,41.8417,10366801,43.7
9/13/2017,41.36,42.245,41.26,41.8,41.4647,10354032,43.78
9/12/2017,40.67,41.51,40.46,41.26,40.9291,6735008,42.925
9/11/2017,40.43,40.77,40.19,40.63,40.3041,10455233,42.91
9/8/2017,41.24,41.26,39.86,40.29,39.9668,9144384,42.34
9/7/2017,41,41.42,40.68,41.31,40.9787,8145030,42.695
9/6/2017,40.22,41.19,40.18,41.01,40.6811,14165413,42.245
